Datum,Betreffende pagina's
2024-10-26,20212
2024-10-27,19742
2024-10-28,19742
2024-10-29,19742
2024-10-30,18956
2024-10-31,18956
2024-11-01,18956
2024-11-02,18956
2024-11-03,17492
2024-11-04,17492
2024-11-05,17492
2024-11-06,15113
2024-11-07,15113
2024-11-08,15113
2024-11-09,15113
2024-11-10,15172
2024-11-11,15172
2024-11-12,15172
2024-11-13,15446
2024-11-14,15446
2024-11-15,15446
2024-11-16,15446
2024-11-17,15499
2024-11-18,15499
2024-11-19,15499
2024-11-20,16983
2024-11-21,16983
2024-11-22,16983
2024-11-23,16983
2024-11-24,18089
2024-11-25,18089
2024-11-26,18089
2024-11-27,20815
2024-11-28,20815
2024-11-29,20815
2024-11-30,20815
2024-12-01,22434
2024-12-02,22434
2024-12-03,22434
2024-12-04,32383
2024-12-05,32383
2024-12-06,32383
2024-12-07,32383
2024-12-08,33055
2024-12-09,33055
2024-12-10,33055
2024-12-11,34532
2024-12-12,34532
2024-12-13,34532
2024-12-14,34532
2024-12-15,34678
2024-12-16,34678
2024-12-17,34678
2024-12-18,39625
2024-12-19,39625
2024-12-20,39625
2024-12-21,39625
2024-12-22,41124
2024-12-23,41124
2024-12-24,41124
2024-12-25,41595
2024-12-26,41595
2024-12-27,41595
2024-12-28,41595
2024-12-29,41448
2024-12-30,41448
2024-12-31,41448
2025-01-01,42542
2025-01-02,42542
2025-01-03,42542
2025-01-04,42542
2025-01-05,42554
2025-01-06,42554
2025-01-07,42554
2025-01-08,42648
2025-01-09,42648
2025-01-10,42648
2025-01-11,42648
2025-01-12,42640
2025-01-13,42640
2025-01-14,42640
2025-01-15,42656
2025-01-16,42656
2025-01-17,42656
2025-01-18,42656
