page_id,position,url,title,conditions,categories,,,,,
14,replace,https://www.treasurejuwelier.nl/horloges/g-shock,G-Shock horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""1179\""}""]",4,,,,,
18,replace,https://www.treasurejuwelier.nl/horloges/lorus,Lorus horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""343\""}""]",4,,,,,
22,replace,https://www.treasurejuwelier.nl/horloges/seiko,Seiko horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""376\""}""]",4,,,,,
23,replace,https://www.treasurejuwelier.nl/horloges/seiko-astron,Seiko Astron horloges,"[""{\""filter\"":\""308\"",\""operator\"":\""and\"",\""value\"":[\""2166\""]}""]",4,,,,,
24,replace,https://www.treasurejuwelier.nl/horloges/seiko-premier,Seiko Premier horloges,"[""{\""filter\"":\""308\"",\""operator\"":\""and\"",\""value\"":[\""2167\""]}""]",4,,,,,
25,replace,https://www.treasurejuwelier.nl/horloges/seiko-prospex,Seiko Prospex horloges,"[""{\""filter\"":\""308\"",\""operator\"":\""and\"",\""value\"":[\""2169\""]}""]",4,,,,,
27,replace,https://www.treasurejuwelier.nl/horloges/swarovski-watches,Swarovski horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""864\""}""]",4,,,,,
29,replace,https://www.treasurejuwelier.nl/horloges/tommy-hilfiger,Tommy Hilfiger horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""398\""}""]",4,,,,,
30,replace,https://www.treasurejuwelier.nl/horloges/zinzi-watches,ZINZI horloges,"[""{\""filter\"":\""190\"",\""operator\"":\""and\"",\""value\"":\""190\""}""]",4,,,,,
33,replace,https://www.treasurejuwelier.nl/boccia,Boccia Titanium sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",2,,,,,
34,replace,https://www.treasurejuwelier.nl/calvin-klein-jewels,Calvin Klein sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""819\""}""]",2,,,,,
44,replace,https://www.treasurejuwelier.nl/silk-jewellery,SILK Jewellery sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""1077\""}""]",2,,,,,
46,replace,https://www.treasurejuwelier.nl/swarovski,Swarovski sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""543\""}""]",2,,,,,
47,replace,https://www.treasurejuwelier.nl/treasure-collection,Treasure Collection sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""51\""}""]",2,,,,,
48,replace,https://www.treasurejuwelier.nl/zinzi,ZINZI sieraden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""695\""}""]",2,,,,,
50,replace,https://www.treasurejuwelier.nl/armbanden/boccia,Boccia Titanium armbanden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",7,,,,,
51,replace,https://www.treasurejuwelier.nl/kettingen/boccia,Boccia Titanium kettingen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",9,,,,,
52,replace,https://www.treasurejuwelier.nl/ringen/boccia,Boccia Titanium ringen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",6,,,,,
53,replace,https://www.treasurejuwelier.nl/oorbellen/boccia,Boccia Titanium oorbellen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",8,,,,,
54,replace,https://www.treasurejuwelier.nl/hangers/boccia,Boccia Titanium hangers,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""923\""}""]",11,,,,,
56,replace,https://www.treasurejuwelier.nl/armbanden/calvin-klein-jewels,Calvin Klein armbanden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""819\""}""]",7,,,,,
57,replace,https://www.treasurejuwelier.nl/kettingen/calvin-klein-jewels,Calvin Klein kettingen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""819\""}""]",9,,,,,
58,replace,https://www.treasurejuwelier.nl/ringen/calvin-klein-jewels,Calvin Klein ringen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""819\""}""]",6,,,,,
59,replace,https://www.treasurejuwelier.nl/oorbellen/calvin-klein-jewels,Calvin Klein oorbellen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""819\""}""]",8,,,,,
92,replace,https://www.treasurejuwelier.nl/armbanden/silk-jewellery,SILK armbanden,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""1077\""}""]",7,,,,,
93,replace,https://www.treasurejuwelier.nl/kettingen/silk-jewellery,SILK kettingen,"[""{\""filter\"":\""191\"",\""operator\"":\""and\"",\""value\"":\""1077\""}""]",9,,,,,
